1	1.164	21.2
2	1.115	24.9
3	1.083	13.4
4	1.099	11.5
5	1.131	2.9
6	1.127	29.7
7	1.033	21.3
8	1.078	8.0
9	1.118	1.7
10	1.103	27.5
11	1.152	31.9
12	1.102	13.6
13	1.072	11.0
14	1.122	4.5
15	1.118	10.2
16	1.063	38.8
17	1.138	54.3
18	1.077	45.8
19	1.092	28.8
20	1.046	19.9
21	1.083	39.0
22	1.114	13.8
23	1.123	35.1
24	1.148	25.8
25	1.142	31.2
26	1.158	31.3
27	1.115	53.6
28	1.097	39.0
29	1.165	58.6
30	1.102	29.2
31	1.155	33.8
32	1.082	27.6
33	1.097	42.2
34	1.149	47.3
35	1.096	28.4
36	1.091	30.5
37	1.077	55.9
38	1.107	43.0
39	1.111	55.3
40	1.086	6.6
41	1.170	31.2
42	1.167	13.3
43	1.106	57.1
44	1.118	17.5
45	1.127	45.6
46	1.084	55.3
47	1.145	53.0
48	1.077	10.2
49	1.181	18.4
50	1.158	9.9
51	1.110	48.2
52	1.041	7.5
53	1.163	21.9
54	1.161	6.1
55	1.089	37.3
56	1.081	40.0
57	0.990	70.6
58	1.137	40.1
59	1.057	46.2
60	1.096	34.2
61	1.157	10.9
62	1.142	35.9
63	1.131	39.3
64	1.132	50.9
65	1.118	24.8
66	1.088	1.8
67	1.084	28.5
68	1.152	59.7
69	1.127	1.8
70	1.016	15.2
71	1.104	52.0
72	1.115	61.2
73	1.103	27.6
74	1.065	31.2
75	1.096	37.1
76	1.078	12.5
77	1.103	27.2
78	1.137	59.1
79	1.132	20.7
80	1.121	5.1
81	1.081	59.9
82	1.247	2.8
83	1.174	1.3
84	1.174	37.0
85	1.082	23.8
86	1.072	31.9
87	1.067	1.6
88	1.125	21.6
89	1.046	22.0
90	1.121	6.4
91	1.130	38.6
92	1.092	28.7
93	1.067	16.2
94	1.083	24.6
95	1.121	18.6
96	1.154	37.2
97	1.053	6.9
98	1.065	9.4
99	1.117	67.5
100	1.136	15.0
101	1.118	20.7
102	1.084	13.4
103	1.152	37.7
104	1.118	49.8
105	1.111	53.4
106	1.096	10.0
107	1.086	15.3
108	1.122	59.6
109	1.131	0.9
110	1.108	52.0
111	1.178	14.1
112	1.079	55.9
113	1.090	57.3
114	1.068	11.4
115	1.144	57.1
116	1.070	5.0
117	1.127	19.4
118	1.090	25.9
119	1.118	27.4
120	1.155	56.9
121	1.092	26.9
122	1.030	13.1
123	1.108	7.9
124	1.092	8.3
125	1.091	30.1
126	1.049	35.7
127	1.090	7.6
128	1.130	60.9
129	1.106	37.4
130	1.108	49.0
131	1.066	10.9
132	1.130	25.1
133	1.088	30.0
134	1.100	46.7
135	1.061	5.1
136	1.061	29.9
137	1.153	36.8
138	1.125	14.0
139	1.141	6.0
140	1.084	33.2
141	1.057	45.2
142	1.109	36.4
143	1.082	39.1
144	1.128	25.4
145	1.084	28.6
146	1.139	22.4
147	1.115	19.8
148	1.141	39.4
149	1.163	29.7
150	1.096	33.2
151	1.067	60.4
152	1.116	43.0
153	1.145	9.1
154	1.084	23.2
155	1.090	30.2
156	1.097	46.7
157	1.123	49.1
158	1.082	1.2
159	1.119	35.7
160	1.131	33.1
161	1.082	29.2
162	1.069	23.8
163	1.085	18.3
164	1.098	44.9
165	1.102	9.8
166	1.076	33.6
167	1.088	21.8
168	1.136	47.2
169	1.128	13.5
170	1.155	0.1
171	1.146	18.5
172	1.118	17.0
173	1.120	55.3
174	1.135	6.8
175	1.094	9.7
176	1.032	42.6
177	1.065	33.0
178	1.121	68.2
179	1.147	56.4
180	1.075	38.5
