0	0	-344.7996156396	-344.6426530126	-344.6290906269	0.6032987484930679
0	10	-344.7997186675	-344.6428132437	-344.6290615191	0.6032987484930679
0	20	-344.8000347378	-344.6432894406	-344.6289915384	0.6032987484930679
0	30	-344.8004735995	-344.6439324852	-344.6288987843	0.6032987484930679
0	40	-344.8009126359	-344.6445568976	-344.6288033425	0.6032987484930679
0	50	-344.801232769	-344.6449998189	-344.62872315	0.6032987484930679
0	60	-344.8013496757	-344.6451566034	-344.6286718442	0.6032987484930679
1	0	-344.7993750639	-344.6429576156	-344.6319659902	0.5435961304699841
1	10	-344.7994747246	-344.6431202719	-344.6319440468	0.5435961304699841
1	20	-344.7997765483	-344.6435958581	-344.6318960786	0.5435961304699841
1	30	-344.8001942227	-344.6442337726	-344.6318352432	0.5435961304699841
1	40	-344.800610904	-344.6448495569	-344.6317729605	0.5435961304699841
1	50	-344.8009134666	-344.645283355	-344.6317174957	0.5435961304699841
1	60	-344.8010221446	-344.645433616	-344.6316752201	0.5435961304699841
2	0	-344.7987143751	-344.6427745334	-344.6343545387	0.4837159685936989
2	10	-344.7988101141	-344.6429402162	-344.6343396945	0.4837159685936989
2	20	-344.7990964041	-344.6434162221	-344.6343139407	0.4837159685936989
2	30	-344.7994912503	-344.6440494992	-344.6342861091	0.4837159685936989
2	40	-344.799884037	-344.6446565762	-344.6342585393	0.4837159685936989
2	50	-344.8001679944	-344.6450810791	-344.6342289216	0.4837159685936989
2	60	-344.8002681641	-344.6452248961	-344.6341957203	0.4837159685936989
3	0	-344.7977169839	-344.6422076757	-344.6363026036	0.42366746777544884
3	10	-344.7978082045	-344.6423776472	-344.6362941822	0.42366746777544884
3	20	-344.7980775901	-344.6428559592	-344.6362900979	0.42366746777544884
3	30	-344.798447863	-344.6434851897	-344.6362963958	0.42366746777544884
3	40	-344.7988151235	-344.64408302	-344.6363056841	0.42366746777544884
3	50	-344.7990793834	-344.6444975925	-344.6363035777	0.42366746777544884
3	60	-344.7991707603	-344.6446349228	-344.6362796314	0.42366746777544884
4	0	-344.7964637898	-344.6413759231	-344.6378470542	0.3634592979502089
4	10	-344.7965498618	-344.6415534659	-344.6378424003	0.3634592979502089
4	20	-344.7968009212	-344.6420381313	-344.6378573852	0.3634592979502089
4	30	-344.7971448182	-344.6426636529	-344.6378993222	0.3634592979502089
4	40	-344.7974848688	-344.6432501675	-344.6379492551	0.3634592979502089
4	50	-344.7977283126	-344.6436528864	-344.6379776837	0.3634592979502089
4	60	-344.7978106175	-344.643783341	-344.6379635301	0.3634592979502089
5	0	-344.7950308384	-344.6404163455	-344.6390134805	0.3030996259506158
5	10	-344.795111117	-344.6406154252	-344.6389993091	0.3030996259506158
5	20	-344.7953424238	-344.641117143	-344.6390242046	0.3030996259506158
5	30	-344.7956581463	-344.6417349931	-344.6391076973	0.3030996259506158
5	40	-344.7959693169	-344.6423015244	-344.6392087586	0.3030996259506158
5	50	-344.7961908445	-344.6426861191	-344.6392751521	0.3030996259506158
5	60	-344.7962638234	-344.6428082355	-344.6392724232	0.3030996259506158
6	0	-344.7934860515	-344.639816366	-344.6394835693	0.24259614868632617
6	10	-344.7935598996	-344.6399993311	-344.639498268	0.24259614868632617
6	20	-344.7937700861	-344.6404146165	-344.639638182	0.24259614868632617
6	30	-344.7940559284	-344.6409337688	-344.6398563141	0.24259614868632617
6	40	-344.7943366207	-344.6414225236	-344.6400682029	0.24259614868632617
6	50	-344.7945352143	-344.6417602698	-344.6402025061	0.24259614868632617
6	60	-344.7945986617	-344.6418678075	-344.6402176405	0.24259614868632617
7	0	-344.7918852611	-344.6402495198	-344.6387532527	0.1819561227468922
7	10	-344.7919520747	-344.6403261245	-344.6388878335	0.1819561227468922
7	20	-344.7921399174	-344.6405262435	-344.6392732258	0.1819561227468922
7	30	-344.7923943766	-344.6407762775	-344.6397985958	0.1819561227468922
7	40	-344.7926432784	-344.6409889795	-344.6403215999	0.1819561227468922
7	50	-344.7928180789	-344.6411030752	-344.6407019123	0.1819561227468922
7	60	-344.7928718584	-344.6411382708	-344.6407928866	0.1819561227468922
8	0	-344.7902686778	-344.640299282	-344.6383885904	0.12118639360378713
8	10	-344.7903279314	-344.6403750238	-344.6385383896	0.12118639360378713
8	20	-344.790492443	-344.6405722761	-344.6389588148	0.12118639360378713
8	30	-344.790714346	-344.6408104669	-344.6395364923	0.12118639360378713
8	40	-344.7909303973	-344.640992319	-344.6401275815	0.12118639360378713
8	50	-344.7910807892	-344.6410402452	-344.6405978134	0.12118639360378713
8	60	-344.7911248709	-344.6409966243	-344.6407713832	0.12118639360378713
9	0	-344.7886579076	-344.6399339284	-344.6385038619	0.06029342401089899
9	10	-344.788709196	-344.6400206777	-344.6386578498	0.06029342401089899
9	20	-344.7888497391	-344.6402488231	-344.6390814152	0.06029342401089899
9	30	-344.7890383926	-344.6405343917	-344.6396545472	0.06029342401089899
9	40	-344.7892210306	-344.6407759046	-344.6402254026	0.06029342401089899
9	50	-344.7893467467	-344.6408920226	-344.6406526041	0.06029342401089899
9	60	-344.789381231	-344.6409332337	-344.6407453236	0.06029342401089899
10	0	-344.7870445716	-344.6391021735	-344.639095485	-0.0007166806431655459
10	10	-344.7870876519	-344.6393664593	-344.639087656	-0.0007166806431655459
10	20	-344.7872040569	-344.6398582675	-344.6392826101	-0.0007166806431655459
10	30	-344.7873594019	-344.6404640302	-344.6395796397	-0.0007166806431655459
10	40	-344.7875086936	-344.6410334369	-344.6398631711	-0.0007166806431655459
