0.00	-90.4	23.7	150.1	-122.6	106.8	-8.0	23.7	23.7	8.0	-8.0
1.00	-128.7	12.2	122.2	-49.2	-170.0	75.3	12.2	12.2	49.2	-49.2
2.00	-69.4	66.3	177.8	-56.2	-167.3	-55.1	66.3	66.3	55.1	-55.1
3.00	-18.2	118.5	-128.6	168.3	34.7	-80.4	18.2	-18.2	34.7	34.7
4.00	85.6	-160.3	-40.6	168.6	64.8	47.4	40.6	-40.6	47.4	47.4
5.00	65.7	175.0	-43.6	164.4	38.4	-64.8	43.6	-43.6	38.4	38.4
6.00	29.9	159.9	-78.7	-162.1	89.3	-44.9	29.9	29.9	44.9	-44.9
7.00	93.1	-134.5	-21.9	-7.9	-124.1	112.0	21.9	-21.9	7.9	-7.9
8.00	132.0	-101.0	11.6	76.8	-28.1	-145.3	11.6	11.6	28.1	-28.1
9.00	-166.6	-38.5	83.0	75.8	-46.1	-170.5	38.5	-38.5	46.1	-46.1
10.00	134.5	-113.5	8.0	48.1	-80.4	163.3	8.0	8.0	48.1	48.1
11.00	107.3	-133.7	-17.3	49.1	-57.0	162.5	17.3	-17.3	49.1	49.1
12.00	-67.3	51.7	172.1	97.5	-25.7	-146.1	51.7	51.7	25.7	-25.7
13.00	41.7	168.1	-71.8	162.0	52.7	85.0	41.7	41.7	52.7	52.7
14.00	4.5	110.4	-126.6	-50.1	-168.7	77.2	4.5	4.5	50.1	-50.1
15.00	-109.5	21.8	122.4	154.8	40.3	-71.8	21.8	21.8	40.3	40.3
16.00	109.6	-129.1	-9.8	-164.9	85.1	-24.5	9.8	-9.8	24.5	-24.5
17.00	128.4	-120.8	23.3	153.0	38.6	-81.3	23.3	23.3	38.6	38.6
18.00	-165.7	-51.8	57.6	92.9	-24.5	-131.4	51.8	-51.8	24.5	-24.5
19.00	-58.3	63.4	-168.9	34.3	-80.8	164.2	58.3	-58.3	34.3	34.3
20.00	-104.1	14.8	117.7	76.4	-50.5	-166.5	14.8	14.8	50.5	-50.5
21.00	152.5	-86.2	31.4	170.2	62.9	-58.1	31.4	31.4	58.1	-58.1
22.00	-48.1	62.7	-164.5	20.3	-103.4	135.2	48.1	-48.1	20.3	20.3
23.00	-81.7	29.2	164.0	74.7	-46.6	-166.2	29.2	29.2	46.6	-46.6
24.00	-90.3	27.8	143.4	48.9	49.8	-160.4	27.8	27.8	48.9	48.9
25.00	-33.3	78.9	-155.6	-17.1	-145.1	101.0	33.3	-33.3	17.1	-17.1
26.00	-22.4	85.0	-151.6	26.2	160.7	92.9	22.4	-22.4	26.2	26.2
27.00	-39.7	87.0	-160.8	-13.2	-120.3	126.0	39.7	-39.7	13.2	-13.2
28.00	-91.2	33.1	158.5	-59.4	-166.0	75.6	33.1	33.1	59.4	-59.4
29.00	-126.8	-4.8	110.9	-80.0	-157.2	-25.3	4.8	-4.8	25.3	-25.3
30.00	-79.4	42.0	152.4	-70.1	169.4	65.7	42.0	42.0	65.7	65.7
31.00	163.2	-56.7	49.5	-20.7	-98.2	135.9	49.5	49.5	20.7	-20.7
32.00	-47.0	72.0	-175.7	9.4	-115.5	124.8	47.0	-47.0	9.4	9.4
33.00	-55.0	48.8	165.3	109.9	-16.2	-149.1	48.8	48.8	16.2	-16.2
34.00	-106.7	24.7	136.6	-167.8	42.3	-62.4	24.7	24.7	42.3	42.3
35.00	-81.6	29.1	150.8	-96.4	146.0	21.4	29.1	29.1	21.4	21.4
36.00	-109.3	5.1	137.7	-177.9	59.0	-53.8	5.1	5.1	53.8	-53.8
37.00	-119.6	-8.5	124.6	111.3	-12.0	-124.9	8.5	-8.5	12.0	-12.0
38.00	7.6	137.6	-92.5	-117.2	105.1	-2.7	7.6	7.6	2.7	-2.7
39.00	43.6	174.4	-44.9	-108.3	145.2	20.1	43.6	43.6	20.1	20.1
40.00	53.3	158.8	-64.3	-54.7	-157.3	45.4	53.3	53.3	45.4	45.4
41.00	9.7	120.8	-115.6	-57.0	-163.7	-71.6	9.7	9.7	57.0	-57.0
42.00	56.0	168.2	-40.1	-83.7	157.2	40.4	40.1	-40.1	40.4	40.4
43.00	-59.4	65.0	166.1	-97.2	138.1	-26.9	59.4	-59.4	26.9	-26.9
44.00	170.7	-57.8	60.1	-119.4	117.6	-8.0	57.8	-57.8	8.0	-8.0
45.00	-147.9	-17.3	104.7	119.6	7.9	-109.7	17.3	-17.3	7.9	7.9
46.00	-81.3	28.3	158.7	-167.9	63.1	-48.0	28.3	28.3	48.0	-48.0
47.00	-49.4	66.3	-178.6	62.4	-56.4	-169.1	49.4	-49.4	56.4	-56.4
48.00	51.8	-162.3	-42.9	-122.3	95.4	-7.0	42.9	-42.9	7.0	-7.0
49.00	-168.5	-39.2	60.1	-75.0	168.8	29.4	39.2	-39.2	29.4	29.4
50.00	-157.5	-39.4	78.3	35.2	153.6	73.8	39.4	-39.4	35.2	35.2
51.00	-64.9	48.6	-178.3	-152.9	104.4	-20.7	48.6	48.6	20.7	-20.7
52.00	-126.1	9.4	113.9	119.4	6.8	-95.9	9.4	9.4	6.8	6.8
53.00	-144.9	-38.0	93.2	122.7	18.0	130.3	38.0	-38.0	18.0	18.0
54.00	-55.8	57.7	167.4	63.1	-61.9	175.3	55.8	-55.8	61.9	-61.9
55.00	-88.4	47.7	160.7	-10.1	-148.2	101.1	47.7	47.7	10.1	-10.1
56.00	-38.0	81.8	-166.5	-161.8	75.4	-41.3	38.0	-38.0	41.3	-41.3
57.00	-62.1	67.4	-174.1	-170.1	53.5	-57.9	62.1	-62.1	53.5	53.5
58.00	-83.3	45.4	159.7	164.4	71.4	-57.1	45.4	45.4	57.1	-57.1
59.00	160.2	-71.6	47.2	24.8	-121.1	123.7	47.2	47.2	24.8	24.8
60.00	-102.2	20.0	138.2	-76.5	158.8	32.4	20.0	20.0	32.4	32.4
