58.00	19.7	141.0	-93.4	58.8	-63.0	172.5	19.7	19.7	58.8	58.8
59.00	41.5	163.2	-83.0	62.2	-65.1	-170.1	41.5	41.5	62.2	62.2
60.00	7.2	118.6	-128.0	71.0	-50.5	-166.0	7.2	7.2	50.5	-50.5
61.00	66.4	-166.6	-48.7	55.2	-51.5	-164.6	48.7	-48.7	51.5	-51.5
62.00	-15.6	112.1	-137.3	49.6	-68.1	172.4	15.6	-15.6	49.6	49.6
63.00	5.1	128.0	-111.4	79.0	-33.1	169.0	5.1	5.1	33.1	-33.1
64.00	-19.0	124.1	-131.6	51.0	-66.6	162.3	19.0	-19.0	51.0	51.0
65.00	-4.6	112.3	-122.4	60.1	-49.0	-162.1	4.6	-4.6	49.0	-49.0
66.00	-22.7	112.3	-135.8	47.5	-48.4	172.9	22.7	-22.7	47.5	47.5
67.00	43.1	163.0	-71.3	72.4	45.1	-160.8	43.1	43.1	45.1	45.1
68.00	-49.8	71.1	-176.8	85.7	-43.7	-160.1	49.8	-49.8	43.7	-43.7
69.00	43.6	162.4	-73.6	65.6	-59.4	175.1	43.6	43.6	59.4	-59.4
70.00	52.4	172.0	-70.7	65.2	-61.5	177.5	52.4	52.4	61.5	-61.5
71.00	29.3	144.4	-97.7	73.2	24.5	-153.4	29.3	29.3	24.5	24.5
72.00	16.3	131.4	-106.6	34.7	-68.0	164.5	16.3	16.3	34.7	34.7
73.00	35.4	159.2	-79.0	52.4	-84.5	166.8	35.4	35.4	52.4	52.4
74.00	-39.8	75.6	-160.4	70.3	-55.6	-166.1	39.8	-39.8	55.6	-55.6
75.00	-7.5	109.8	-127.4	71.6	-48.2	-160.3	7.5	-7.5	48.2	-48.2
76.00	32.6	165.0	-76.9	43.1	-74.5	168.7	32.6	32.6	43.1	43.1
77.00	51.5	157.4	-69.4	73.7	-47.1	-172.2	51.5	51.5	47.1	-47.1
78.00	-53.7	71.5	-173.0	67.8	-43.9	-170.1	53.7	-53.7	43.9	-43.9
79.00	-51.7	67.2	-174.3	57.3	-82.0	165.1	51.7	-51.7	57.3	57.3
80.00	-35.5	84.7	-151.1	45.6	-66.2	-175.3	35.5	-35.5	45.6	45.6
81.00	52.7	175.8	-67.4	55.8	-54.0	162.9	52.7	52.7	54.0	-54.0
82.00	-33.2	91.4	-144.9	62.4	-55.0	-178.0	33.2	-33.2	55.0	-55.0
83.00	9.6	145.6	-100.4	74.4	-34.9	-148.7	9.6	9.6	34.9	-34.9
84.00	26.0	150.6	-98.4	59.0	-56.9	175.1	26.0	26.0	56.9	-56.9
85.00	43.3	175.3	-68.5	88.4	-40.0	-155.2	43.3	43.3	40.0	-40.0
86.00	-5.7	124.3	-128.4	63.1	-51.1	178.5	5.7	-5.7	51.1	-51.1
